numreviews,rating,title,types
0,0,Wally Findley Galleries,Museums Shopping
0,0,Jade Gary,Classes & Workshops Outdoor Activities
1,4,Acquavella Galleries,Shopping Museums
0,0,Church Of The Holy Name Of Jesus,Sights & Landmarks Churches & Cathedrals
1,5,Carter Burden Gallery,Museums Shopping
0,0,JG/Contemporary,Shopping Museums
1,1,"Leo Costelli Gallery, new york city, usa",Sights & Landmarks Points of Interest & Landmarks
0,0,Portal Down to Old New York,Sights & Landmarks Historic Sites
2,5,Howard S. Rose Gallery,Shopping Museums
1,4,Cindy Rucker Gallery,Museums Art Museums
4,5,Miller Theatre,Concerts & Shows Symphonies
4,3,Josephine Shaw Lowell Fountain,Sights & Landmarks Fountains
5,2.5,NYCruise,Transportation Ferries
2,2.5,Galeries Bartoux,Shopping Museums
6,5,Mitzi E. Newhouse,Concerts & Shows Theaters
7,3.5,Church of the Incarnation,Sights & Landmarks Churches & Cathedrals
4,5,I Heart Radio Theater,Concerts & Shows Theaters
31,4,Elektra Theatre,Concerts & Shows Theaters
15,4.5,It's Showtime at the Apollo,Concerts & Shows Theaters
8,4,The Showplace,Shopping Shopping Malls
1,5,Tin Pan Alley,Sights & Landmarks Historic Sites
3,3.5,Block Beautiful,Sights & Landmarks Neighborhoods
15,3,King Jagiello Monument,Sights & Landmarks Monuments & Statues
3,3.5,J Hood Wright Park,Nature & Parks Fun & Games
4,4,Leica Photographic Gallery,Shopping Museums
3,4,Wards Island Pedestrian Bridge,Sights & Landmarks Bridges
3,2.5,Peter Max,Shopping Museums
3,4,St. John Nepomucene,Sights & Landmarks Churches & Cathedrals
7,4,Father Demo Square,Sights & Landmarks Points of Interest & Landmarks
13,3.5,Church of Our Savior,Sights & Landmarks Sacred & Religious Sites
4,5,Praxis Gallery,Shopping Museums
6,5,Kehila Kedosha Janina,Sights & Landmarks Museums
2,4.5,St. James Episcopal church,Sights & Landmarks Churches & Cathedrals
4,5,Hauser & Wirth,Museums Shopping
6,4,New York Marble Cemetery,Sights & Landmarks Cemeteries
3,4.5,Obelisk,Sights & Landmarks Monuments & Statues
18,4,Vivian Beaumont Theater - Macbeth,Concerts & Shows Theaters
8,4,Saint Peter’s Church,Sights & Landmarks Churches & Cathedrals
1,4,Van Der Plas Gallery,Shopping Museums
3,5,Rockefeller Plaza Manhattan New York City,Sights & Landmarks Fountains
2,5,Questroyal Fine Art,Shopping Museums
2,5,Harold and Miriam Steinberg Center for Theatre,Concerts & Shows Theaters
1,5,Swiss Institute,Museums Art Museums
3,4.5,Sikkema Jenkins Company,Sights & Landmarks Points of Interest & Landmarks
18,4,Union Square Theatre,Concerts & Shows Theaters
2,5,777 Theatre,Concerts & Shows Theaters
5,4,Yeshiva University Museum,Museums Specialty Museums
1,5,Olympic Tower,Sights & Landmarks Points of Interest & Landmarks
2,4.5,The Kitchen,Concerts & Shows Theaters
4,3.5,Bond Street,Sights & Landmarks Points of Interest & Landmarks
2,4.5,Fusion Arts Museum,Museums Art Museums
3,3.5,The Actors Studio,Sights & Landmarks Educational sites
2,4.5,No Particular Hours,Shopping Antique Stores
8,5,Aperture Foundation Gallery,Sights & Landmarks Points of Interest & Landmarks
5,4,Queen of Greene Street,Sights & Landmarks Historic Sites
3,3.5,United House of Prayer for All People,Sights & Landmarks Churches & Cathedrals
6,5,Vineyard Theater,Concerts & Shows Theaters
3,4,St. Luke African Methodist Episcopal  Church,Sights & Landmarks Churches & Cathedrals
2,5,Postmasters Gallery,Shopping Museums
3,4.5,Roosevelt House,Sights & Landmarks Universities & Schools
2,4.5,Tibet House US,Museums Shopping
12,3.5,Billy Johnson Playground,Nature & Parks Fun & Games
2,5,Clinton Community Garden,Nature & Parks Gardens
3,4.5,Schimmel Center,Concerts & Shows Theaters
1,4,Manhattan Night Court,Sights & Landmarks Government Buildings
8,3,Eastern States Buddhist Temple of America,Sights & Landmarks Sacred & Religious Sites
3,4.5,Bialystoker Synagogue,Sights & Landmarks Historic Sites
7,5,Discovering Columbus,Museums Art Museums
4,4,St. Joseph's Church in Greenwich Village,Sights & Landmarks Churches & Cathedrals
3,3.5,Lewis H. Latimer House Museum,Museums History Museums
2,4.5,New Century Artists,Shopping Museums
6,4,Brooklyn Municipal Building,Sights & Landmarks Government Buildings
2,4,Christopher Columbus Statue,Sights & Landmarks Monuments & Statues
